,id,Name,Calories,Protein_(g),Carbs_(g),Fiber_(g),Sugar_(g),Calcium_(mg),Sodium_(mg),Total_Fat_(g)
8286,33879,"BABYFOOD,FINGER SNACKS,GERB,GRADUAT,LIL CRUNCHI - MILD CHEDD",513,8.26,57.61,5.2,1.6,789.0,623.0,12.293
461,3209,"BABYFOOD,CRACKERS,VEG",477,8.4,66.85,4.0,13.0,41.0,571.0,17.745
460,3206,"BABYFOOD,COOKIE,BABY,FRUIT",435,6.8,73.7,3.4,24.2,83.0,9.0,7.565
464,3213,"BABYFOOD,COOKIES",433,11.8,67.1,0.2,24.2,101.0,300.0,8.342
465,3214,"BABYFOOD,COOKIES,ARROWROOT",424,7.6,75.4,0.2,,32.0,319.0,8.969999999999999
8624,42284,"BABYFOOD,BKD PRODUCT,FINGER SNACKS CRL FORT",421,6.4,76.68,2.3,28.0,400.0,214.0,4.776
629,3996,"BABYFOOD, MULTIGRAIN WHOLE GRAIN CEREAL, DRY FORTIFIED",407,6.67,80.06,6.7,26.67,800.0,33.0,2.349
8625,42285,"BABYFOOD,CRL,BROWN RICE,DRY,INST",406,8.7,85.98,6.5,0.72,55.0,12.0,1.6949999999999998
463,3212,"BABYFOOD,CRL,RICE,W/ BANANAS,DRY",404,8.7,79.9,1.0,16.7,691.0,0.0,1.964
459,3205,"BABYFOOD,OATMEAL CRL W/ FRUIT,DRY,INST,TODD FORT",402,10.5,74.1,7.8,11.09,286.0,0.0,4.58
443,3184,"BABYFOOD,CRL,WHL WHEAT,W/ APPLS,DRY FORT",402,6.6,83.2,6.7,26.66,600.0,66.0,1.916
449,3190,"BABYFOOD,CRL,OATMEAL,W/ BANANAS,DRY",399,6.67,78.07,5.2,26.66,800.0,33.0,2.6959999999999997
444,3185,"BABYFOOD,CRL,MXD,DRY FORT",399,6.66,78.21,6.7,26.66,800.0,33.0,1.975
466,3215,"BABYFOOD,PRETZELS",397,10.8,82.2,2.3,3.08,25.0,269.0,0.638
8753,43529,"BABYFOOD,RICE&APPLS,DRY",396,6.7,86.89,3.0,3.22,850.0,16.0,1.1179999999999999
448,3189,"BABYFOOD,CRL,OATMEAL,DRY FORT",394,10.99,73.48,7.3,11.67,1160.0,21.0,2.4050000000000002
467,3216,"BABYFOOD,TEETHING BISCUITS",392,10.7,76.4,1.4,12.65,263.0,285.0,2.908
445,3186,"BABYFOOD,CRL,MXD,W/ BANANAS,DRY",391,10.7,77.1,7.8,6.68,696.0,0.0,2.069
630,3997,"BABYFOOD,BABY MUM MUM RICE BISCUITS",391,12.5,83.21,0.0,12.5,0.0,313.0,0.46199999999999997
452,3193,"BABYFOOD,CRL,OATMEAL,W/HONEY,DRY",391,13.5,69.3,,,1154.0,47.0,
453,3194,"BABYFOOD,CRL,RICE,DRY,FORT",390,6.65,83.14,1.3,4.85,860.0,32.0,0.654
333,3023,"BABYFOOD,FINGER SNACKS,GERBER,GRADUATES,PUFFS,APPL & CINN",389,6.19,85.79,3.8,17.84,535.0,13.0,0.44899999999999995
8760,43544,"BABYFOOD,CRL,RICE W/ PEARS & APPL,DRY,INST FORT",389,6.6,88.5,2.6,1.35,38.0,2.0,0.437
504,3302,"BABYFOOD,SNACK,GERBER,GRADUATES,YOGURT MELTS",380,14.29,71.82,2.3,57.14,457.0,286.0,3.204
442,3181,"BABYFOOD,CRL,BARLEY,DRY FORT",376,13.2,69.4,6.6,13.2,643.0,33.0,2.344
462,3211,"BABYFOOD,CRL,HI PROT,W/APPL&ORANGE,DRY",374,25.4,57.6,7.1,,751.0,104.0,2.191
315,3001,"BABYFOOD,JUC TREATS,FRUIT MEDLEY,TODD",347,0.0,86.68,0.0,57.4,12.0,89.0,0.0
608,3964,"BABYFOOD,FORT CRL BAR,FRUIT FILLING",344,5.43,68.63,1.7,42.0,1053.0,157.0,3.56
330,3019,"BABYFOOD,SNACK,GERBER GRADUATE FRUIT STRIPS,REAL FRUIT BARS",330,0.82,76.61,2.0,68.65,18.0,14.0,0.45599999999999996
326,3014,"BABYFOOD,MEAT,CHICK STKS,JR",188,14.6,1.5,0.2,1.4,73.0,267.0,10.361
329,3017,"BABYFOOD, MEAT, TURKEY STICKS, JUNIOR",188,13.7,1.4,0.2,1.4,83.0,295.0,8.814
331,3021,"BABYFOOD,MEAT,MEAT STKS,JR",184,13.4,1.1,0.2,0.8,34.0,267.0,12.3
325,3013,"BABYFOOD,MEAT,CHICK,JR",146,14.0,0.0,0.0,0.0,55.0,49.0,6.800000000000001
324,3012,"BABYFOOD,MEAT,CHICK,STR",130,13.7,0.1,0.0,0.0,64.0,49.0,5.59
319,3007,"BABYFOOD,MEAT,PORK,STR",124,14.0,0.0,0.0,0.0,5.0,42.0,5.98
511,3689,"BABYFOOD,CRL,OATMEAL,PREP W/WHL MILK",116,5.0,15.3,1.1,,220.0,46.0,
513,3693,"BABYFOOD,CRL,OATMEAL,W/HONEY,PREP W/WHL MILK",115,5.0,15.3,,,289.0,49.0,
516,3704,"BABYFOOD,CRL,MXD,W/HONEY,PREP W/WHL MILK",115,5.0,15.9,,,294.0,48.0,
515,3696,"BABYFOOD,CRL,RICE,W/HONEY,PREP W/WHL MILK",115,3.9,17.1,,,291.0,49.0,
323,3011,"BABYFOOD,MEAT,LAMB,JUNIOR",112,15.2,0.0,0.0,0.0,7.0,42.0,4.62
517,3711,"BABYFOOD,CRL,HI PROT,W/APPL&ORANGE,PREP W/WHL MILK",112,6.9,13.4,,,223.0,58.0,
508,3682,"BABYFOOD,CRL,HI PROT,PREP W/WHL MILK",111,8.7,11.6,,,218.0,49.0,
328,3016,"BABYFOOD,MEAT,TURKEY,JR",111,11.5,1.4,0.0,0.0,41.0,49.0,4.025
327,3015,"BABYFOOD,MEAT,TURKEY,STR",111,11.5,1.4,0.0,0.0,41.0,49.0,4.025
405,3139,"BABYFOOD,PRUNES,WO/VIT C,STR",100,1.0,23.52,2.7,14.28,21.0,1.0,0.15
342,3046,"BABYFOOD,RAVIOLI,CHS FILLED,W/TOMATO SAU",99,3.6,16.3,0.1,0.59,54.0,282.0,1.5299999999999998
