,id,Name,Calories,Protein_(g),Carbs_(g),Fiber_(g),Sugar_(g),Calcium_(mg),Sodium_(mg),Total_Fat_(g)
5007,16410,"SOYBEANS,MATURE SEEDS,RSTED,NO SALT ADDED",469,38.55,30.22,17.7,,138.0,4.0,9.284
4846,16110,"SOYBEANS,MATURE SEEDS,RSTD,SALTED",469,38.55,30.22,17.7,4.2,138.0,163.0,9.284
4847,16111,"SOYBEANS,MATURE SEEDS,DRY RSTD",449,43.32,28.98,8.1,,140.0,2.0,7.903
4844,16108,"SOYBEANS,MATURE SEEDS,RAW",446,36.49,30.16,9.3,7.33,277.0,2.0,7.288
6140,19108,"CANDIES,JELLYBEANS",375,0.0,93.55,0.2,70.0,3.0,50.0,0.0
4780,16042,"BEANS,PINTO,MATURE SEEDS,RAW",347,21.42,62.55,15.5,2.11,113.0,12.0,0.46399999999999997
4785,16047,"BEANS,YEL,MATURE SEEDS,RAW",345,22.0,60.7,25.1,,166.0,12.0,0.897
4815,16078,"MOTHBEANS,MATURE SEEDS,RAW",343,22.94,61.52,,,150.0,30.0,0.493
4760,16022,"BEANS,FRENCH,MATURE SEEDS,RAW",343,18.81,64.11,25.2,,186.0,18.0,0.359
4778,16040,"BEANS,PINK,MATURE SEEDS,RAW",343,20.96,64.19,12.7,2.14,130.0,8.0,0.39
4790,16052,"BROADBEANS (FAVA BEANS),MATURE SEEDS,RAW",341,26.12,58.29,25.0,5.7,103.0,13.0,0.5569999999999999
4752,16014,"BEANS,BLACK,MATURE SEEDS,RAW",341,21.6,62.36,15.5,2.12,123.0,5.0,0.489
4754,16016,"BEANS,BLACK TURTLE,MATURE SEEDS,RAW",339,21.25,63.25,15.5,2.12,160.0,9.0,0.31
4762,16024,"BEANS,GREAT NORTHERN,MATURE SEEDS,RAW",339,21.86,62.37,20.2,2.26,175.0,14.0,0.409
4775,16037,"BEANS,NAVY,MATURE SEEDS,RAW",337,22.33,60.75,15.3,3.88,147.0,5.0,0.29800000000000004
