,id,Name,Calories,Protein_(g),Carbs_(g),Fiber_(g),Sugar_(g),Calcium_(mg),Sodium_(mg),Total_Fat_(g)
3796,13335,"BEEF,VAR MEATS & BY-PRODUCTS,SUET,RAW",854,1.5,0.0,0.0,0.0,2.0,7.0,83.82
7513,23435,"BEEF,NZ,IMP,SUBCUTANEOUS FAT,CKD",731,6.5,0.0,0.0,0.0,17.0,25.0,55.598
7514,23436,"BEEF,NZ,IMP,SUBCUTANEOUS FAT,RAW",685,8.5,0.0,0.0,0.0,20.0,26.0,56.216
3746,13020,"BEEF,RTL CUTS,FAT,CKD",680,10.65,0.0,0.0,0.0,19.0,23.0,58.95
3745,13019,"BEEF,RTL CUTS,FAT,RAW",674,8.21,0.0,0.0,0.0,26.0,26.0,60.39
7380,23300,"BEEF,AUST,IMP,WAGYU,EXTERNAL FAT,AUST. MARBLE SCORE 9,RAW",639,5.54,0.97,0.0,0.0,4.0,43.0,58.215999999999994
7381,23301,"BEEF,AUSTRALIAN,IMP,WAGYU,SEAM FAT,AUST. MARBLE SCORE 9,RAW",627,5.16,0.0,0.0,0.0,2.0,27.0,57.625
7498,23420,"BEEF,NZ,IMP,INTERMUSCULAR FAT,RAW",602,6.97,0.01,0.0,0.0,11.0,32.0,46.393
7378,23298,"BEEF,AUS,IMP,WAGYU,EXTERNAL FAT,AUST. MARBLE SCORE 4/5,RAW",596,6.54,0.0,0.0,0.0,2.0,37.0,54.087
7379,23299,"BEEF,AUST,IMP,WAGYU,SEAM FAT,AUST. MARBLE SCORE 4/5,RAW",594,6.0,0.0,0.0,,2.0,32.0,54.042
7377,23297,"BEEF,AUSTRALIAN,IMP,GRASS-FED,SEAM FAT,RAW",562,9.58,1.06,0.0,0.0,3.0,34.0,49.513999999999996
7497,23419,"BEEF,NZ,IMP,INTERMUSCULAR FAT,CKD",560,7.9,3.39,0.0,0.0,16.0,25.0,43.102000000000004
7376,23296,"BEEF,AUSTRALIAN,IMP,GRASS-FED,EXTERNAL FAT,RAW",509,11.32,0.39,0.0,0.0,6.0,36.0,44.07599999999999
3761,13148,"BEEF,RIB,SHORTRIBS,LN&FAT,CHOIC,CKD,BRSD",471,21.57,0.0,0.0,0.0,12.0,50.0,36.68
7526,23448,"BEEF,NZ,IMP,BRISKET NAVEL END,LN & FAT,CKD,BRSD",453,20.14,0.0,0.0,0.0,11.0,33.0,29.884999999999998
3805,13345,"BEEF,CURED,BRKFST STRIPS,CKD",449,31.3,1.4,0.0,0.0,9.0,2253.0,31.200000000000003
4012,13861,"BEEF,RIB,SML END (RIBS 10-12),LN&FAT,1/8""FAT,PRIME,CKD,RSTD",411,22.15,0.0,0.0,,13.0,65.0,29.79
3804,13344,"BEEF,CURED,BRKFST STRIPS,RAW OR UNHTD",406,12.5,0.7,0.0,,4.0,955.0,34.629999999999995
7402,23322,"BEEF,AUS,IMP,WGU,SMLEDRIB STK/RST,BNLESS,LN&FAT,MRB SCR9,RAW",405,14.54,0.42,0.0,0.0,3.0,57.0,33.518
3999,13848,"BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,1/8""FAT,PRIME,CKD,BRLD",404,20.65,0.0,0.0,,10.0,62.0,29.799999999999997
3988,13835,"BEEF,RIB,WHL (RIBS 6-12),LN&FAT,1/8""FAT,PRIME,CKD,RSTD",400,22.57,0.0,0.0,,11.0,65.0,28.65
4000,13849,"BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,1/8""FAT,PRIME,CKD,RSTD",393,22.86,0.0,0.0,,10.0,64.0,27.88
