,id,Name,Calories,Protein_(g),Carbs_(g),Fiber_(g),Sugar_(g),Calcium_(mg),Sodium_(mg)
20,1021,"CHEESE,GJETOST",466,9.65,42.65,0.0,,400.0,600.0
138,1156,"CHEESE,GOAT,HARD TYPE",452,30.52,2.17,0.0,2.17,895.0,423.0
8708,43340,"CHEESE,PARMESAN,LO NA",451,41.6,3.7,0.0,0.85,800.0,63.0
31,1032,"CHEESE,PARMESAN,GRATED",420,28.42,13.91,0.0,0.07,853.0,1804.0
132,1146,"CHEESE,PARMESAN,SHREDDED",415,37.86,3.41,0.0,0.9,1253.0,1696.0
22,1023,"CHEESE,GRUYERE",413,29.81,0.36,0.0,0.36,1011.0,714.0
224,1270,"CHEESE,CHEDDAR,SHARP,SLICED",410,24.25,2.13,0.0,0.27,711.0,644.0
8,1009,"CHEESE,CHEDDAR",404,22.87,3.09,0.0,0.48,710.0,653.0
148,1169,"CHEESE,LOW-SODIUM,CHEDDAR OR COLBY",398,24.35,1.91,0.0,0.49,703.0,21.0
10,1011,"CHEESE,COLBY",394,23.76,2.57,0.0,0.52,685.0,604.0
39,1040,"CHEESE,SWISS",393,26.96,1.44,0.0,0.0,890.0,187.0
32,1033,"CHEESE,PARMESAN,HARD",392,35.75,3.22,0.0,0.8,1184.0,1376.0
19,1020,"CHEESE,FONTINA",389,25.6,1.55,0.0,1.55,550.0,800.0
9,1010,"CHEESE,CHESHIRE",387,23.37,4.78,0.0,,643.0,700.0
37,1038,"CHEESE,ROMANO",387,31.8,3.63,0.0,0.73,1064.0,1433.0
8730,43398,"CHEESE,PAST PROCESS,CHEDDAR OR AMERICAN,LO NA",376,22.2,1.6,0.0,0.45,616.0,7.0
7,1008,"CHEESE,CARAWAY",376,25.18,3.06,0.0,,673.0,690.0
42,1043,"CHEESE,PAST PROCESS,PIMENTO",375,22.13,1.73,0.1,0.62,614.0,915.0
8733,43405,"CHEESE,SWISS,LOW SODIUM",374,28.4,3.4,0.0,1.31,961.0,14.0
146,1167,"CHEESE,MEXICAN,QUESO CHIHUAHUA",374,21.56,5.56,0.0,5.56,651.0,617.0
144,1165,"CHEESE,MEXICAN,QUESO ANEJO",373,21.44,4.63,0.0,4.63,680.0,1131.0
24,1025,"CHEESE,MONTEREY",373,24.48,0.68,0.0,0.5,746.0,600.0
4,1005,"CHEESE,BRICK",371,23.24,2.79,0.0,0.51,674.0,560.0
212,1253,"CHEESE,PAST PROCESS,AMERICAN,WO/ ADDED VITAMIN D",371,18.13,3.7,0.0,2.26,1045.0,1671.0
38,1039,"CHEESE,ROQUEFORT",369,21.54,2.0,0.0,,662.0,1809.0
29,1030,"CHEESE,MUENSTER",368,23.41,1.12,0.0,1.12,717.0,628.0
223,1267,"CHEESE,MEXICAN,QUESO COTIJA",366,20.0,3.97,0.0,0.0,800.0,1400.0
41,1042,"CHEESE,PAST PROCESS,AMERICAN,FORT W/ VITAMIN D",366,18.13,4.78,0.0,2.26,1045.0,1671.0
139,1157,"CHEESE,GOAT,SEMISOFT TYPE",364,21.58,0.12,0.0,0.12,298.0,415.0
210,1251,"CHEESE,MEXICAN BLEND",358,23.54,1.75,0.0,1.23,659.0,338.0
17,1018,"CHEESE,EDAM",357,24.99,1.43,0.0,1.43,731.0,812.0
21,1022,"CHEESE,GOUDA",356,24.94,2.22,0.0,2.22,700.0,819.0
145,1166,"CHEESE,MEXICAN,QUESO ASADERO",356,22.6,2.87,0.0,2.87,661.0,705.0
3,1004,"CHEESE,BLUE",353,21.4,2.34,0.0,0.5,528.0,1146.0
33,1034,"CHEESE,PORT DE SALUT",352,23.78,0.57,0.0,0.57,650.0,534.0
