,id,Name,Calories,Protein_(g),Carbs_(g),Fiber_(g),Sugar_(g),Calcium_(mg),Sodium_(mg),Total_Fat_(g)
8092,28290,"COOKIE,W/ PNUT BUTTER FILLING,CHOCOLATE-COATED",562,8.1,52.9,3.5,30.9,35.0,371.0,27.6
7841,28033,"GIRL SCOUTS,TAGALONGS COOKIES",558,8.1,52.2,3.5,30.9,,371.0,27.6
8008,28205,"MOTHER'S,MACAROON COOKIES",552,6.1,55.7,4.1,25.4,,284.0,23.5
8591,42183,"CANDIES,MARS SNACKFOOD US,TWIX CHOC FUDGE COOKIE BARS",550,7.3,56.0,3.0,53.0,130.0,266.0,19.281
7932,28128,"KEEBLER,SANDIES,PECAN SHORTBREAD COOKIES,BITE SIZE",547,5.0,58.7,1.6,22.5,,333.0,18.5
7929,28125,"KEEBLER,SANDIES,CHOC CHIP & PECAN SHORTBREAD COOKIES",546,5.6,59.2,2.4,26.5,,304.0,19.6
5704,18193,"COOKIES,SHORTBREAD,COMMLY PREP,PECAN",542,4.9,58.3,1.8,,30.0,281.0,26.832
8135,28333,"COOKIES,GLUTEN-FREE,CHOC WAFER",541,4.06,62.82,1.6,40.99,109.0,122.0,24.761
7931,28127,"KEEBLER,SANDIES,PECAN SHORTBREAD COOKIES",541,5.0,59.0,1.9,22.5,,354.0,17.9
7930,28126,"KEEBLER,SANDIES,DK CHOC ALMOND SHORTBREAD COOKIES",540,6.1,59.9,2.6,26.5,,303.0,17.8
7860,28053,"KEEBLER,CHIPS DELUXE,CHOC MALT CHUNK COOKIES",537,4.7,61.8,1.7,31.6,,342.0,19.700000000000003
7888,28082,"KEEBLER,FUDGE SHOPPE,PNUT CREME FILLED COOKIES",537,7.2,57.6,3.3,30.3,,354.0,23.7
6190,19161,"CANDIES,MARS SNACKFOOD US,TWIX PNUT BUTTER COOKIE BARS",536,9.18,54.15,3.1,36.13,75.0,226.0,28.075
5709,18201,"COOKIES,PNUT BUTTER SNDWCH,SPL DIETARY",535,10.0,50.8,,,43.0,412.0,20.328
7928,28124,"KEEBLER,SANDIES,CASHEW SHORTBREAD COOKIES",535,6.3,59.3,1.5,23.2,,370.0,17.8
7889,28083,"KEEBLER,FUDGE SHOPPE,TRIPLE FUDGE FILLED COOKIES",533,3.6,64.2,3.0,42.7,,235.0,21.400000000000002
5710,18202,"COOKIES,SUGAR WAFER,W/ CREME FILLING,SUGAR FREE",531,3.57,66.26,14.3,0.0,0.0,71.0,16.394
5873,18401,"PIE CRUST,COOKIE-TYPE,PREP FROM RECIPE,VANILLA WAFER,CHILLED",531,3.7,50.2,0.1,7.33,42.0,515.0,23.081
7861,28054,"KEEBLER,CHIPS DELUXE,COCNT COOKIES",530,5.7,61.5,3.7,28.4,,293.0,19.6
8069,28267,"KEEBLER,SANDIES,SIMPLY SHORTBREAD COOKIES",528,6.0,62.2,1.4,22.6,,291.0,19.6
8113,28311,"COOKIES,SUGAR WAFER,CHOCOLATE-COVERED",526,3.45,65.99,3.4,51.72,0.0,138.0,22.107
8103,28301,"COOKIES,PNUT BUTTER,COMMLY PREP,SUGAR FREE",523,10.34,50.52,3.4,0.0,0.0,448.0,16.356
7901,28096,"KEEBLER,FUDGE SHOPPE,MAGIC MIDDLES FUDGE FILLED COOKIES,ORIG",521,5.0,62.5,1.9,33.0,,187.0,14.7
