,id,Name,Calories,Protein_(g),Carbs_(g),Fiber_(g),Sugar_(g),Calcium_(mg),Sodium_(mg),Total_Fat_(g)
6719,21130,"FAST FOODS,ONION RINGS,BREADED&FRIED",411,3.86,43.58,2.7,5.43,115.0,776.0,11.079
6886,21388,"FAST FOODS,MINIATURE CINN ROLLS",403,7.02,53.38,2.2,17.98,54.0,554.0,13.922
6949,21468,"FAST FOODS,FRIED CHICK,SKN & BREADING FROM ALL PIECES",398,14.11,19.56,0.3,0.0,92.0,965.0,22.221
6659,21009,"FAST FOODS,BISCUIT,W/SAUSAGE",371,9.67,29.99,0.4,1.59,47.0,814.0,19.584
6681,21078,"FAST FOODS,NACHOS,W/CHS",343,4.32,34.91,3.2,2.17,63.0,313.0,16.192999999999998
6997,21520,"FAST FOODS,BREADSTICK,SOFT,PREP W/ GARLIC & PARMESAN CHS",343,12.2,44.48,2.4,1.11,87.0,539.0,5.744
6658,21008,"FAST FOODS,BISCUIT,W/HAM",342,11.85,38.75,0.7,1.97,142.0,974.0,14.373000000000001
6670,21024,"FAST FOODS,FRENCH TOAST STKS",340,6.0,41.21,1.4,9.89,53.0,400.0,13.491
6666,21020,"FAST FOODS,ENG MUFFIN,W/CHS&SAUSAGE",338,13.28,25.28,0.5,1.98,210.0,668.0,16.057
6831,21306,"FAST FOODS,GRIDDLE CAKE SNDWCH,SAUSAGE",318,8.41,31.25,1.0,11.23,63.0,737.0,12.894
6662,21012,"FAST FOODS,CROISSANT,W/EGG,CHS,&BACON",312,12.58,20.79,1.0,4.8,117.0,602.0,12.783999999999999
6706,21112,"FAST FOODS,HAMBURGER; SINGLE,LRG PATTY; PLN",311,16.51,23.16,,,54.0,346.0,13.33
6692,21096,"FAST FOODS,CHEESEBURGER; SINGLE,LRG PATTY; PLN",310,17.29,24.07,1.7,4.67,114.0,481.0,12.642
6953,21472,"FAST FOODS,FRIED CHICK,WING,MEAT & SKN & BREADING",310,21.14,11.19,0.1,0.0,67.0,867.0,15.111
6697,21101,"FAST FOODS,CHEESEBURGER; TRIPLE,REG PATTY; PLN",310,18.2,16.16,0.5,3.29,174.0,637.0,14.574000000000002
6685,21089,"FAST FOODS,CHEESEBURGER; SINGLE,REG PATTY; PLN",308,16.51,28.03,2.0,4.88,119.0,515.0,11.886
6676,21059,"FAST FOODS,SHRIMP,BREADED&FRIED",308,7.84,27.99,0.7,0.1,29.0,897.0,15.748
6688,21092,"FAST FOODS,CHEESEBURGER; DOUBLE,REG PATTY; PLN",308,17.16,20.8,0.7,4.02,180.0,621.0,12.873999999999999
6664,21014,"FAST FOODS,CROISSANT,W/EGG,CHS,&SAUSAGE",308,12.09,15.9,1.8,3.12,90.0,577.0,16.18
6757,21229,"FAST FOODS,CHICK,BREADED & FRIED,BNLESS PIECES,PLN",307,15.92,14.93,0.9,0.08,11.0,594.0,11.301
6653,21003,"FAST FOODS,BISCUIT,W/EGG&BACON",305,11.33,19.06,0.5,2.19,126.0,844.0,14.260000000000002
6661,21011,"FAST FOODS,CROISSANT,W/EGG&CHS",304,10.07,22.45,,,192.0,434.0,17.012999999999998
6657,21007,"FAST FOODS,BISCUIT,W/EGG,CHS,&BACON",301,12.01,24.44,0.2,1.74,103.0,816.0,13.928
6660,21010,"FAST FOODS,BISCUIT,W/ CRISPY CHICK FILLET",300,11.93,30.56,1.4,2.62,44.0,868.0,11.167
6701,21107,"FAST FOODS,HAMBURGER; SINGLE,REG PATTY; PLN",297,16.52,31.5,1.7,4.88,62.0,331.0,9.328
6718,21129,"FAST FOODS,HUSH PUPPIES",296,6.16,40.21,2.9,3.8,100.0,813.0,10.427
6704,21110,"FAST FOODS,HAMBURGER; DOUBLE,REG,PATTY; PLN",295,17.08,24.1,0.9,4.15,102.0,414.0,10.591000000000001
6903,21410,"FAST FOODS,BAGEL,W/ EGG,SAUSAGE PATTY,CHS,& CONDMNT",295,12.98,22.64,0.2,2.87,94.0,550.0,12.422
6968,21488,"FAST FOODS,QUESADILLA,W/ CHICK",294,15.05,24.04,1.7,1.88,269.0,745.0,9.919
6830,21305,"FAST FOODS,GRIDDLE CAKE SNDWCH,EGG,CHS,& SAUSAGE",291,10.77,22.04,0.6,7.9,96.0,652.0,12.367
6668,21022,"FAST FOODS,ENG MUFFIN,W/EGG,CHS,&SAUSAGE",286,13.38,17.44,0.2,1.49,168.0,548.0,13.693
6695,21099,"FAST FOODS,CHSBURGER; SINGLE,LRG PATTY; W/ CONDMNT,VEG & HAM",286,15.55,13.01,,,119.0,674.0,15.746
6691,21095,"FAST FOODS,CHSEBURGER; DBLE,REG,PATTY & BN; W/ CONDMNT & VEG",285,13.04,23.3,,,74.0,404.0,11.143
6693,21097,"FAST FOODS,CHESEBURGER; SINGLE,LRG PATTY; W/ CONDMNT & BACON",282,15.78,18.89,1.3,4.63,137.0,674.0,11.553
6690,21094,"FAST FOODS,CHEESEBURGER,DOUBLE,REG PATTY & BUN,W/ CONDMNT",282,16.24,17.97,1.0,4.16,150.0,617.0,12.961
