,id,Name,Calories,Protein_(g),Carbs_(g),Fiber_(g),Sugar_(g),Calcium_(mg),Sodium_(mg),Saturated_Fat_(g),Mono_Fat_(g)
70,1078,"MILK,PRODUCER,FLUID,3.7% MILKFAT",64,3.28,4.65,0.0,,119.0,49.0,2.278,1.057
179,1211,"MILK,WHL,3.25% MILKFAT,WO/ ADDED VIT A & VITAMIN D",61,3.15,4.78,0.0,5.05,113.0,43.0,1.865,0.812
69,1077,"MILK,WHL,3.25% MILKFAT,W/ ADDED VITAMIN D",61,3.15,4.8,0.0,5.05,113.0,43.0,1.865,0.812
152,1174,"MILK,RED FAT,FLUID,2% MILKFAT,WO/ ADDED VIT A & VIT D",50,3.3,4.8,0.0,5.06,120.0,47.0,1.257,0.56
71,1079,"MILK,RED FAT,FLUID,2% MILKFAT,W/ ADDED VIT A & VITAMIN D",50,3.3,4.8,0.0,5.06,120.0,47.0,1.257,0.56
8595,42189,"MILK,BTTRMLK,FLUID,CULTURED,RED FAT",56,4.1,5.3,0.0,5.3,143.0,105.0,1.242,0.576
73,1081,"MILK,RED FAT,FLUID,2% MILKFAT,PROT FORT,W/ ADDED VIT A & D",56,3.95,5.49,0.0,5.26,143.0,59.0,1.232,0.572
134,1152,"MILK,RED FAT,FLUID,2% MILKFAT,W/ NONFAT MILK SOL,WO/ VIT A",56,3.95,5.49,0.0,,143.0,59.0,1.232,0.065
72,1080,"MILK,RED FAT,FLUID,2% MILKFAT,W/ ADDED NFMS, VIT A & VIT D",51,3.48,4.97,0.0,,128.0,52.0,1.195,0.555
91,1103,"MILK,CHOC,FLUID,COMM,RED FAT",76,2.99,12.13,0.7,9.55,109.0,66.0,1.177,0.455
171,1202,"MILK,CHOC,FLUID,COMM,RED FAT,W/ ADDED CA",78,2.99,12.13,0.7,9.55,194.0,66.0,1.177,0.455
76,1084,"MILK,LOWFAT,FLUID,1% MILKFAT,PROT FORT,W/ ADDED VIT A & D",48,3.93,5.52,0.0,,142.0,58.0,0.728,0.338
153,1175,"MILK,FLUID,1% FAT,WO/ ADDED VIT A & VIT D",42,3.37,4.99,0.0,5.2,125.0,44.0,0.633,0.277
74,1082,"MILK,LOWFAT,FLUID,1% MILKFAT,W/ ADDED VIT A & VITAMIN D",42,3.37,4.99,0.0,5.2,125.0,44.0,0.633,0.277
248,1305,"MILK,CHOC,LOWFAT,RED SUGAR",54,3.43,7.68,0.0,7.29,122.0,66.0,0.616,0.29
75,1083,"MILK,LOWFAT,FLUID,1% MILKFAT,W/ ADD NONFAT MILK SOL,VIT A/ D",43,3.48,4.97,0.0,,128.0,52.0,0.604,0.28
92,1104,"MILK,CHOC,LOWFAT,W/ ADDED VIT A & VITAMIN D",62,3.46,9.86,0.1,9.94,129.0,65.0,0.584,0.541
80,1088,"MILK,BTTRMLK,FLUID,CULTURED,LOWFAT",40,3.31,4.79,0.0,4.79,116.0,190.0,0.548,0.254
83,1091,"MILK,DRY,NONFAT,REG,WO/ ADDED VIT A & VITAMIN D",362,36.16,51.98,0.0,51.98,1257.0,535.0,0.499,0.201
136,1154,"MILK,DRY,NONFAT,REG,W/ ADDED VIT A & VITAMIN D",362,36.16,51.98,0.0,51.98,1257.0,535.0,0.499,0.2
137,1155,"MILK,DRY,NONFAT,INST,WO/ ADDED VIT A & VITAMIN D",358,35.1,52.19,0.0,52.19,1231.0,549.0,0.47,0.19
84,1092,"MILK,DRY,NONFAT,INST,W/ ADDED VIT A & VITAMIN D",358,35.1,52.19,0.0,52.19,1231.0,549.0,0.467,0.187
79,1087,"MILK,NONFAT,FLUID,PROT FORT,W/ ADD VIT A & D (FAT FREE/SKIM)",41,3.96,5.56,0.0,,143.0,59.0,0.162,0.065
78,1086,"MILK,NONFAT,FLUID,W/ ADDED NONFAT MILK SOL,VIT A & VIT D",37,3.57,5.02,0.0,5.02,129.0,53.0,0.162,0.065
85,1093,"MILK,DRY,NONFAT,CA RED",354,35.5,51.8,0.0,,280.0,2280.0,0.124,0.058
89,1097,"MILK,CND,EVAP,NONFAT,W/ ADDED VIT A & VITAMIN D",78,7.55,11.35,0.0,11.35,290.0,115.0,0.121,0.062
8628,42290,"MILK,FLUID,NONFAT,CA FORT (FAT FREE OR SKIM)",35,3.4,4.85,0.0,4.85,204.0,52.0,0.117,0.047
77,1085,"MILK,NONFAT,FLUID,W/ ADDED VIT A & VIT D (FAT FREE OR SKIM)",34,3.37,4.96,0.0,5.09,122.0,42.0,0.056,0.022
133,1151,"MILK,NONFAT,FLUID,WO/ ADDED VIT A & VIT D (FAT FREE OR SKIM)",34,3.37,4.96,0.0,5.09,122.0,42.0,0.051,0.021
238,1292,"MILK,CHOC,FAT FREE,W/ ADDED VIT A & VITAMIN D",67,3.39,13.46,0.0,9.32,127.0,110.0,0.0,0.0
