,id,Name,Calories,Protein_(g),Carbs_(g),Fiber_(g),Sugar_(g),Calcium_(mg),Sodium_(mg),Total_Fat_(g)
346,3050,"BABYFOOD,DINNER,SPAGHETTI&TOMATO&MEAT,JR",68,2.57,11.42,1.1,2.72,15.0,30.0,1.04
347,3051,"BABYFOOD,DINNER,SPAGHETTI&TOMATO&MEAT,TODD",75,5.3,10.8,,,22.0,239.0,
364,3077,"BABYFOOD,DINNER,PASTA W/VEG",60,1.7,8.4,1.5,1.2,14.0,11.0,1.81
1287,6143,"USDA COMMODITY,SPAGHETTI SAU,MEATLESS,CND",48,1.2,8.7,,4.7,20.0,590.0,0.372
1334,6220,"PREGO PASTA,CHNKY GRD MSHRM & GRN PPPR ITAL SAU,RTS",69,1.54,10.0,2.3,7.69,15.0,362.0,
1335,6221,"PREGO PASTA,CHUNKY GARDEN MUSHROOM ITALIAN SAU,RTS",69,1.54,10.0,2.3,7.69,0.0,354.0,0.77
1336,6222,"PREGO PASTA,DICED ONION & GARLIC ITAL SAU,RTS",92,1.54,13.85,2.3,9.23,31.0,369.0,
1337,6223,"PREGO PASTA,FLAV W/ MEAT ITAL SAU,RTS",62,1.54,10.0,2.3,7.69,15.0,369.0,
1338,6224,"PREGO PASTA,FRSH MUSHROOM ITAL SAU,RTS",54,1.54,10.0,2.3,8.46,15.0,369.0,
1339,6225,"PREGO PASTA,GARLIC SUPREME ITAL SAU,RTS",85,1.54,13.08,2.3,10.0,31.0,408.0,
1340,6226,"PREGO PASTA,ITAL SAUSGE & GARLIC ITAL SAU,RTS",72,2.4,10.4,2.4,8.0,16.0,384.0,
1341,6228,"PREGO PASTA,MINI MEATBALL ITAL SAU,RTS",77,3.08,10.0,2.3,7.69,15.0,369.0,
1342,6229,"PREGO PASTA,MUSHRM & GRLIC ITAL SAU,RTS",62,1.54,10.0,2.3,7.69,15.0,362.0,
1344,6231,"PREGO PASTA,MUSHRM & PARMESAN ITALIAN SAU,RTS",104,2.4,17.6,2.4,10.4,48.0,384.0,
1345,6232,"PREGO PASTA,ORGANIC MUSHROOM ITALIAN SAU,RTS",72,1.6,10.4,3.2,7.2,16.0,376.0,
1346,6233,"PREGO PASTA,ORGNIC TOMATO & BASIL ITAL SAU,RTS",72,1.6,10.4,3.2,7.2,32.0,376.0,
1347,6234,"PREGO PASTA,HEART SMRT- RICOTTA PMESAN ITLN SAU,RTS",72,2.4,10.4,2.4,8.0,48.0,288.0,
1348,6235,"PREGO PASTA,RSTD GARLIC & HERB ITAL SAU,RTS",69,1.54,10.0,2.3,6.92,15.0,354.0,
1349,6236,"PREGO PASTA,RSTD GARLIC PARMESAN ITAL SAU,RTS",77,2.31,10.0,2.3,7.69,31.0,369.0,
1350,6237,"PREGO PASTA,H ST- RSTD RED PR GRLIC ITLIAN SAU,RTS",56,1.6,10.4,2.4,7.2,16.0,288.0,
1351,6239,"PREGO PASTA,TOMATO,BASIL & GARLIC ITAL SAU,RTS",64,1.6,9.6,2.4,7.2,16.0,336.0,
1352,6240,"PREGO PASTA,ZESTY MUSHROOM ITALIAN SAU,RTS",85,1.54,13.85,2.3,9.23,15.0,408.0,
1407,6357,"CAMPBELL'S RED & WHITE,GOLDFISH PASTA W/ CHICK",63,2.38,9.52,0.8,0.79,,381.0,1.191
1434,6400,"CAMPBELL'S CHUNKY SOUPS,GRILLED CHICK VEG & PASTA SOUP",41,2.45,5.71,0.8,0.82,8.0,359.0,
1567,6734,"SOUP,CHICK W/STAR-SHAPED PASTA,CND,COND,SINGLE BRAND",50,2.3,7.1,,,,732.0,0.8880000000000001
1576,6931,"SAUCE,PASTA,SPAGHETTI/MARINARA,RTS",50,1.39,7.43,1.8,4.91,26.0,437.0,0.516
1577,6932,"PREGO PASTA,TRADITIONAL ITALIAN SAU,RTS",54,1.54,10.0,2.3,7.69,15.0,369.0,
1597,6976,"SAUCE,PASTA,SPAGHETTI/MARINARA,RTS,LO NA",51,1.41,8.06,1.8,5.5,27.0,30.0,0.547
1613,6994,"PREGO PASTA,CHUNKY GARDEN COMB ITALIAN SAU,RTS",54,1.54,10.0,2.3,7.69,15.0,362.0,
1614,6995,"PREGO PASTA,CHNKY GRDN TMTO,ON & GRLIC ITAL SAU,RTS",72,1.6,10.4,2.4,8.0,16.0,376.0,
3194,11492,"SQUASH,WNTR,SPAGHETTI,RAW",31,0.64,6.91,1.5,2.76,23.0,17.0,0.159
3195,11493,"SQUASH,WNTR,SPAGHETTI,CKD,BLD,DRND,OR BKD,WO/SALT",27,0.66,6.46,1.4,2.53,21.0,18.0,0.08399999999999999
3484,11870,"SQUASH,WNTR,SPAGHETTI,CKD,BLD,DRND,OR BKD,W/SALT",27,0.66,6.46,1.4,2.53,21.0,254.0,0.08399999999999999
6552,20091,"PASTA,GLUTEN-FREE,CORN,DRY",357,7.46,79.26,11.0,,4.0,3.0,0.833
6553,20092,"PASTA,GLUTEN-FREE,CORN,CKD",126,2.63,27.91,4.8,,1.0,0.0,0.293
6554,20093,"PASTA,FRESH-REFRIGERATED,PLN,AS PURCHASED",288,11.31,54.73,,,15.0,26.0,0.599
6555,20094,"PASTA,FRESH-REFRIGERATED,PLN,CKD",131,5.15,24.93,,,6.0,6.0,0.274
6556,20095,"PASTA,FRESH-REFRIGERATED,SPINACH,AS PURCHASED",289,11.26,55.72,,,43.0,27.0,1.142
6557,20096,"PASTA,FRESH-REFRIGERATED,SPINACH,CKD",130,5.06,25.04,,,18.0,6.0,0.513
6558,20097,"PASTA,HOMEMADE,MADE W/EGG,CKD",130,5.28,23.54,,,10.0,83.0,0.9159999999999999
6559,20098,"PASTA,HOMEMADE,MADE WO/EGG,CKD",124,4.37,25.12,,,6.0,74.0,0.327
6572,20120,"PASTA,DRY,ENR",371,13.04,74.67,3.2,2.67,21.0,6.0,0.44800000000000006
6573,20121,"PASTA,CKD,ENR,WO/ ADDED SALT",158,5.8,30.86,1.8,0.56,7.0,1.0,0.307
6574,20124,"PASTA,WHOLE-WHEAT,DRY",352,13.87,73.37,9.2,2.74,29.0,6.0,0.7889999999999999
