,id,Name,Calories,Protein_(g),Carbs_(g),Fiber_(g),Sugar_(g),Calcium_(mg),Sodium_(mg),Total_Fat_(g)
654,4037,"OIL,RICE BRAN",884,0.0,0.0,0.0,0.0,0.0,0.0,59.0
6164,19134,"CANDIES,MILK CHOC,W/RICE CRL",511,7.64,59.67,3.3,51.06,187.0,86.0,24.53
6073,19031,"ORIENTAL MIX,RICE-BASED",506,17.31,51.62,13.2,3.0,54.0,413.0,13.645
6353,19403,"CRISPED RICE BAR,ALMOND",458,7.0,64.6,3.6,,74.0,234.0,11.27
8131,28329,"COOKIES,CHOC,MADE W/ RICE CRL",440,3.23,63.26,1.6,40.32,32.0,210.0,15.256
8132,28330,"COOKIES,MARSHMLLW,W/ RICE CRL & CHOC CHIPS",435,4.55,63.26,0.0,40.91,0.0,341.0,15.571000000000002
7757,25071,RICE CRACKERS,416,10.0,82.64,0.0,0.0,0.0,233.0,3.021
6379,19438,"SNACKS,KELLOGG,KELLOGG'S RICE KRISPIES TREATS SQUARES",414,3.4,80.5,0.0,19.36,3.0,351.0,3.9
2000,8546,RICE & WHEAT CRL BAR,409,9.09,72.73,1.8,31.8,31.0,500.0,6.567
8596,42190,"PORK SAUSAGE RICE LINKS,BROWN&SERVE,CKD",407,13.7,2.36,0.0,0.0,15.0,689.0,30.925
8625,42285,"BABYFOOD,CRL,BROWN RICE,DRY,INST",406,8.7,85.98,6.5,0.72,55.0,12.0,1.6949999999999998
463,3212,"BABYFOOD,CRL,RICE,W/ BANANAS,DRY",404,8.7,79.9,1.0,16.7,691.0,0.0,1.964
6057,19010,"CRISPED RICE BAR,CHOC CHIP",404,5.1,73.0,2.2,,21.0,278.0,9.23
1864,8156,"CEREALS RTE,RICE,PUFFED,FORT",402,6.3,89.8,1.7,,6.0,3.0,
8753,43529,"BABYFOOD,RICE&APPLS,DRY",396,6.7,86.89,3.0,3.22,850.0,16.0,1.1179999999999999
1921,8288,"CEREALS RTE,KELLOGG,KELLOGG'S RICE KRISPIES TREATS CRL",395,4.3,85.59,0.4,29.6,10.0,567.0,2.09
1789,8025,"CEREALS RTE,RALSTON CRISP RICE",394,6.69,86.22,0.7,12.12,5.0,545.0,0.603
6411,19819,"RICE CAKES,BROWN RICE,SESAME SD,UNSALTED",392,7.6,81.5,,,12.0,4.0,1.6400000000000001
8601,42204,"RICE CAKE,CRACKER (INCL HAIN MINI RICE CAKES)",392,7.1,81.1,4.2,0.88,11.0,71.0,2.457
6092,19053,"RICE CAKES,BROWN RICE,SESAME SD",392,7.6,81.5,5.4,,12.0,227.0,1.6400000000000001
630,3997,"BABYFOOD,BABY MUM MUM RICE BISCUITS",391,12.5,83.21,0.0,12.5,0.0,313.0,0.46199999999999997
453,3194,"BABYFOOD,CRL,RICE,DRY,FORT",390,6.65,83.14,1.3,4.85,860.0,32.0,0.654
8760,43544,"BABYFOOD,CRL,RICE W/ PEARS & APPL,DRY,INST FORT",389,6.6,88.5,2.6,1.35,38.0,2.0,0.437
6410,19818,"RICE CAKES,BROWN RICE,MULTIGRAIN,UNSALTED",387,8.5,80.1,,,21.0,4.0,1.72
6408,19816,"RICE CAKES,BROWN RICE,PLN,UNSALTED",387,8.2,81.5,4.2,0.88,11.0,26.0,1.6
6364,19414,"RICE CAKES,BROWN RICE,MULTIGRAIN",387,8.5,80.1,3.0,,21.0,252.0,1.72
6090,19051,"SNACKS,RICE CRACKER BROWN RICE,PLN",387,8.2,81.5,4.2,0.89,11.0,326.0,1.6
6366,19416,"RICE CAKES,BROWN RICE,RYE",386,8.1,79.9,4.0,,21.0,110.0,1.8900000000000001
6363,19413,"SNACKS,RICE CAKES,BROWN RICE,CORN",385,8.4,81.2,2.9,,9.0,167.0,1.77
1794,8032,"CEREALS RTE,KELLOGG,KELLOGG'S FRSTD RICE KRISPIES",384,4.3,91.3,0.5,40.2,6.0,371.0,0.2
7747,25059,"SNACKS, BROWN RICE CHIPS",384,8.2,81.5,4.2,0.6,11.0,326.0,1.6720000000000002
1814,8066,"CEREALS RTE,QUAKER,QUAKER PUFFED RICE",383,7.01,87.78,1.4,0.0,9.0,5.0,0.505
1813,8065,"CEREALS RTE,KELLOGG,KELLOGG'S RICE KRISPIES",381,6.75,85.05,0.4,9.87,5.0,527.0,1.051
1941,8370,"CEREALS RTE,GENERAL MILLS,RICE CRUNCHINS",381,4.76,80.95,4.8,9.52,0.0,238.0,
1988,8509,"CEREALS RTE,USDA CMDTY RICE CRISPS (INCLUDES ALL  BRANDS)",381,6.45,86.04,0.7,8.35,5.0,850.0,0.608
