,id,Name,Calories,Protein_(g),Carbs_(g),Fiber_(g),Sugar_(g),Calcium_(mg),Sodium_(mg),Total_Fat_(g)
7012,21611,"SCHOOL LUNCH,CHICK NUGGETS,WHL GRAIN BREADED",270,15.67,22.86,2.2,0.49,32.0,511.0,6.423
7008,21603,"SCHOOL LUNCH,PIZZA,PEPP TOPPING,THICK CRUST,WHL GRN,FRZ,CKD",259,14.35,28.3,4.3,4.03,155.0,474.0,7.109
7010,21605,"SCHOOL LUNCH,PIZZA,SAUSAGE TOP,THICK CRUST,WHL GRN,FRZ,CKD",257,13.26,30.58,4.0,3.72,168.0,433.0,7.109
7006,21601,"SCHOOL LUNCH,PIZZA,CHS TOPPING,THICK CRUST,WHL GRAIN,FRZ,CKD",254,14.62,28.08,2.9,5.02,193.0,421.0,6.769
7007,21602,"SCHOOL LUNCH,PIZZA,PEPPI TOPPING,THIN CRUST,WHL GRN,FRZ,CKD",254,12.78,31.24,4.3,7.62,202.0,495.0,4.93
7009,21604,"SCHOOL LUNCH,PIZZA,SSAGE TOPPING,THIN CRST,WHL GRAIN,FRZ,CKD",250,12.63,32.24,3.9,7.53,238.0,457.0,5.732
6728,21146,"SCHOOL LUNCH,PIZZA,BIG DADDY'S 51% WHL TRKY PEP PIZZA,FRZ",248,13.63,27.35,4.1,3.83,147.0,450.0,6.74
7005,21600,"SCHOOL LUNCH,PIZZA,CHS TOPPING,THIN CRUST,WHL GRAIN,FRZ,CKD",247,12.72,31.31,4.0,7.12,218.0,421.0,5.837
7011,21610,"SCHOOL LUNCH,CHICK PATTY,WHL GRAIN BREADED",246,17.64,12.5,2.3,0.55,34.0,467.0,7.038
6727,21145,"SCHOOL LUNCH,PIZZA,BIG DADDY'S LS 16"" 51% WHL CHS PIZZA,FRZ",243,13.89,27.1,2.7,4.77,183.0,400.0,6.43
6731,21149,"SCHOOL LUNCH,PIZZA,TONY'S BRKFST PIZZA SAUSAGE,FRZ",240,10.39,26.99,2.0,5.87,176.0,600.0,5.94
6730,21148,"SCHOOL LUNCH,PIZZA,TONY'S SMARTPIZZA PEP PIZZA 50/50 CHS,FRZ",238,12.14,28.84,4.1,7.24,192.0,470.0,4.93
6729,21147,"SCHOOL LUNCH,PIZZA,TONY'S SMARTPIZZA PIZZA 50/50 CHS,FRZ",233,12.08,29.27,3.8,6.76,207.0,400.0,4.49
