,id,Name,Calories,Protein_(g),Carbs_(g),Fiber_(g),Sugar_(g),Calcium_(mg),Sodium_(mg),Total_Fat_(g)
6020,18972,"BREAD,CHS",408,10.42,44.83,2.1,2.08,90.0,750.0,10.589
8445,35234,"PIKI BREAD,MADE FROM BLUE CORNMEAL (HOPI)",390,9.06,72.22,9.2,1.6,184.0,60.0,2.602
6001,18953,"BREAD,SALVADORAN SWT CHS (QUESADILLA SALVADORENA)",374,7.12,47.84,0.7,24.9,73.0,510.0,11.405999999999999
1956,8417,"CEREALS,QUAKER,INST OATMEAL,BANANA BREAD,DRY",368,8.97,75.7,6.7,29.45,277.0,700.0,2.63
6003,18955,"BREAD,PAN DULCE,SWT YEAST BREAD",367,9.42,56.38,2.3,12.5,86.0,228.0,5.682
5722,18216,"CRACKERS,CRISPBREAD,RYE",366,7.9,82.2,16.5,1.07,31.0,410.0,0.31
6578,20129,"WHEAT FLOURS,BREAD,UNENR",361,11.98,72.53,2.4,0.31,15.0,2.0,0.384
6545,20083,"WHEAT FLR,WHITE,BREAD,ENR",361,11.98,72.53,2.4,0.31,15.0,2.0,0.384
6011,18963,"GARLIC BREAD,FRZ",350,8.36,41.72,2.5,3.69,27.0,544.0,9.95
8373,35142,"FRYBREAD,MADE W/ LARD (NAVAJO)",330,6.69,48.26,,2.03,57.0,329.0,9.032
8088,28286,"BREAD,PARATHA,WHL WHEAT,COMMLY PREP,FRZ",326,6.36,45.35,9.6,4.15,25.0,452.0,9.663
5577,18019,"BREAD,BANANA,PREP FROM RECIPE,MADE W/MARGARINE",326,4.3,54.6,1.1,,21.0,302.0,6.7170000000000005
8138,28336,"BREAD,GLUTEN-FREE,POTATO EXTRACT,RICE STARCH,& RICE FLOUR",320,3.13,52.83,3.5,8.36,24.0,528.0,7.702000000000001
5586,18030,"BREAD, FRENCH OR VIENNA, TSTD (IND SOURDOUGH)",319,13.0,61.93,3.1,3.59,47.0,720.0,0.888
8090,28288,"BREAD,ROLL,MEXICAN,BOLLILO",318,10.65,55.77,2.2,3.55,41.0,506.0,4.059
7515,23437,"BEEF,NZ,IMP,SWEETBREAD,CKD,BLD",318,12.53,0.0,0.0,0.0,4.0,52.0,20.310000000000002
5584,18028,"BREAD,EGG,TOASTED",315,10.5,52.6,2.5,1.94,102.0,417.0,4.605
5611,18065,"BREAD, WHEAT, TSTD",313,12.96,55.77,4.7,6.42,165.0,601.0,2.008
8141,28339,"BREAD,GLUTEN-FREE,WHL GRAIN,TAPIOCA STARCH & BROWN RICE FLR",309,7.25,49.09,4.9,9.81,60.0,510.0,5.704
8414,35185,"FRYBREAD,MADE W/ LARD (APACHE)",309,8.38,46.01,1.7,1.54,52.0,671.0,7.131
5618,18076,"BREAD, WHOLE-WHEAT, COMMER PREP, TOASTED",306,16.27,51.16,7.5,5.77,130.0,565.0,2.894
5620,18078,"BREAD,WHOLE-WHEAT,PREP FROM RECIPE,TSTD",305,9.2,56.4,6.7,4.22,36.0,381.0,2.146
7516,23438,"BEEF,NZ,IMP,SWEETBREAD,RAW",303,11.51,0.0,0.0,0.0,4.0,64.0,20.366
8087,28285,"BREAD,CHAPATI OR ROTI,WHL WHEAT,COMMLY PREP,FRZ",299,7.85,46.13,9.7,2.93,36.0,298.0,5.402
8108,28306,"BREAD,CHAPATI OR ROTI,PLN,COMMLY PREP",297,11.25,46.36,4.9,2.72,93.0,409.0,3.846
5600,18048,"BREAD,RAISIN,ENR,TSTD",297,8.6,56.9,4.7,6.18,72.0,377.0,3.6690000000000005
5898,18432,"BREAD,WHITE,COMMLY PREP,TSTD,LO NA NO SALT",293,9.0,54.4,,,119.0,376.0,2.663
5866,18385,"BREAD,WHEAT GERM,TOASTED",293,10.7,54.3,2.3,4.14,100.0,621.0,2.17
5593,18040,"BREAD,OATMEAL,TOASTED",292,9.2,52.7,4.3,8.84,72.0,486.0,2.479
8109,28307,"BREAD,NAAN,PLN,COMMLY PREP,REFR",291,9.62,50.43,2.2,3.55,84.0,465.0,3.194
5587,18032,"BREAD,IRISH SODA,PREP FROM RECIPE",290,6.6,56.0,2.6,,81.0,398.0,3.1100000000000003
5614,18070,"BREAD,WHITE,COMMLY PREP,TSTD",290,9.0,54.5,2.9,6.2,119.0,537.0,1.56
