,id,Name,Calories,Protein_(g),Carbs_(g),Fiber_(g),Sugar_(g),Calcium_(mg),Sodium_(mg),Total_Fat_(g)
1797,8037,"CEREALS RTE,GRANOLA,HOMEMADE",489,13.67,53.88,8.9,19.8,76.0,26.0,14.908000000000001
2011,8571,"CEREALS RTE,NATURE'S PATH,ORGANIC FLAX PLUS,PUMPKIN GRANOLA",467,11.23,66.1,8.4,18.17,51.0,74.0,6.819999999999999
1974,8487,"CEREALS RTE,MALT-O-MEAL,BLUEBERRY MUFFIN TOPS CRL",443,4.9,79.91,4.7,35.36,338.0,462.0,5.18
1979,8494,"CEREALS RTE,MALT-O-MEAL,CINN TOASTERS",425,3.32,78.33,5.0,32.86,333.0,473.0,5.77
1806,8054,"CEREALS RTE,QUAKER,100% NAT GRANOLA,OATS,WHEAT & HONEY",421,10.55,73.65,10.2,20.34,109.0,50.0,7.84
2044,8627,"CEREALS RTE,QUAKER,NAT GRANOLA APPL CRANBERRY ALMOND",418,9.21,74.73,9.9,27.43,98.0,47.0,7.52
1780,8012,"CEREALS RTE,QUAKER,CAP'N CRUNCH'S PNUT BUTTER CRUNCH",417,7.1,78.65,2.7,33.36,9.0,742.0,6.561
1882,8194,"CEREALS RTE,GENERAL MILLS,REESE'S PUFFS",413,6.8,75.6,4.7,35.3,345.0,555.0,6.800000000000001
2004,8554,"CEREALS RTE,POST SELECTS MAPLE PECAN CRUNCH",413,8.5,77.4,7.4,22.5,39.0,239.0,5.4
1888,8211,"CEREALS RTE,QUAKER,HONEY GRAHAM OH!S",412,3.92,83.65,2.1,43.23,11.0,679.0,6.412999999999999
1892,8218,"CEREALS RTE,QUAKER,QUAKER GRANOLA W/ OATS,WHEAT& RAISINS",412,9.66,74.67,9.4,24.63,101.0,54.0,6.99
2031,8594,"CEREALS RTE,GENERAL MILLS,CHOC CHEX",412,4.8,81.09,2.0,26.2,286.0,629.0,6.6
2086,8679,"CEREALS RTE,GENERAL MILLS,FRSTD TOAST CRUNCH",410,5.19,78.59,4.9,29.2,333.0,565.0,7.69
1915,8272,"CEREALS RTE,GENERAL MILLS,CINN TOAST CRUNCH",410,5.45,77.99,6.8,30.3,444.0,567.0,5.895
2025,8588,"CEREALS RTE,KELLOGG,KELLOGG'S CINNABON CRL",410,5.69,83.3,3.9,41.59,26.0,385.0,4.1
2050,8634,"CEREALS RTE,GENERAL MILLS,PNUT BUTTER TOAST CRUNCH",410,8.19,76.19,5.5,27.1,323.0,452.0,6.79
8609,42240,"CEREALS RTE,POST,HONEY BUNCHES OF OATS,W/ ALMONDS",409,7.7,79.6,5.5,20.0,35.0,417.0,4.8
2085,8678,"CEREALS RTE,GENERAL MILLS,APPL CINN CHEX",408,4.69,82.8,2.0,26.0,323.0,614.0,
1933,8351,"CEREALS RTE,QUAKER,MOTHER'S PNUT BUTTER BUMPERS CRL",407,7.62,79.68,2.5,29.29,23.0,774.0,4.56
629,3996,"BABYFOOD, MULTIGRAIN WHOLE GRAIN CEREAL, DRY FORTIFIED",407,6.67,80.06,6.7,26.67,800.0,33.0,2.349
2088,8681,"CEREALS RTE,CASCADIAN FARM,CINN CRUNCH",407,5.69,81.59,11.0,31.0,0.0,380.0,6.7
1809,8059,"CEREALS RTE,QUAKER,SWT CRUNCH/QUISP",406,4.51,85.03,2.3,43.36,9.0,740.0,5.1370000000000005
1885,8204,"CEREALS RTE,CHOCOLATE-FLAVORED FRSTD PUFFED CORN",405,3.34,87.2,3.8,43.7,70.0,534.0,3.04
1982,8501,"CEREALS RTE,MALT-O-MEAL,FRUITY DYNO-BITES",404,3.9,90.1,1.0,42.6,3.0,630.0,2.7600000000000002
2032,8595,"CEREALS RTE,GENERAL MILLS,CINN CHEX",403,5.0,82.4,2.4,26.1,333.0,605.0,4.8999999999999995
8613,42261,"CEREALS RTE,POST,GREAT GRAINS CRUNCHY PECAN CRL",403,9.0,73.0,9.7,15.4,39.0,287.0,6.8
1795,8034,"CEREALS RTE,POST,FRUITY PEBBLES",402,4.62,86.1,0.8,34.28,19.0,531.0,3.7600000000000002
2043,8625,"CEREALS RTE,QUAKER,CAP'N CRUNCH'S HALLOWEEN CRUNCH",402,4.41,85.14,2.5,43.82,11.0,719.0,4.474
1864,8156,"CEREALS RTE,RICE,PUFFED,FORT",402,6.3,89.8,1.7,,6.0,3.0,
1929,8346,"CEREALS RTE,MALT-O-MEAL,COLOSSAL CRUNCH",401,3.64,81.59,1.7,42.5,0.0,806.0,3.71
2105,8699,"CEREALS RTE,KELLOGG'S KRAVE SMORES",401,7.3,76.4,9.4,31.7,57.0,342.0,5.3
8764,43570,"CEREALS RTE,POST,HONEY BUNCHES OF OATS,HONEY RSTD",401,7.12,81.19,4.2,19.79,23.0,454.0,3.471
8607,42236,"CEREALS RTE,FRSTD OAT CRL W/MARSHMALLOWS",400,7.1,84.7,4.3,36.13,333.0,533.0,1.7200000000000002
2003,8553,"CEREALS RTE,GENERAL MILLS,CHEERIOS,YOGURT BURST,STRAWBERRY",400,6.67,81.75,6.7,30.0,333.0,567.0,3.334
2073,8665,"CEREALS RTE,POST HONEY BUNCHES OF OATS W/ CINN BUNCHES",400,7.1,82.8,5.8,20.4,36.0,464.0,3.1
