,id,Name,Calories,Protein_(g),Carbs_(g),Fiber_(g),Sugar_(g),Calcium_(mg),Sodium_(mg),Total_Fat_(g)
7751,25064,"SNACKS,POTATO CHIPS,LIGHTLY SALTED",560,6.72,53.54,4.2,0.34,24.0,187.0,20.428
8740,43447,"SNACKS,CORN-BASED,EXTRUDED,CHIPS,UNSALTED",557,6.6,57.4,4.4,1.41,124.0,15.0,13.384
6362,19412,"POTATO CHIPS,MADE FROM DRIED POTATOES,CHEESE-FLAVOR",551,7.0,50.6,3.4,,110.0,600.0,16.71
6085,19046,"POTATO CHIPS,MADE FR DRIED POTATOES,SOUR-CREAM&ONION-FLAVOR",547,6.6,51.3,1.2,,64.0,541.0,16.59
6360,19410,"POTATO CHIPS,MADE FROM DRIED POTATOES,PLN",545,4.62,55.38,2.9,0.76,17.0,400.0,14.783000000000001
6051,19003,"SNACKS,CORN-BASED,EXTRUDED,CHIPS,PLN",538,6.17,56.9,4.0,0.27,138.0,514.0,13.465
7860,28053,"KEEBLER,CHIPS DELUXE,CHOC MALT CHUNK COOKIES",537,4.7,61.8,1.7,31.6,,342.0,19.700000000000003
6402,19809,"POTATO CHIPS,PLN,MADE W/PART HYDR SOYBN OIL,SALTED",536,7.0,52.9,4.8,,24.0,594.0,23.43
6404,19811,"POTATO CHIPS,PLN,UNSALTED",536,7.0,52.9,4.8,0.22,24.0,8.0,20.8
6403,19810,"POTATO CHIPS,PLN,MADE W/PART HYDR SOYBN OIL,UNSALTED",536,7.0,52.9,4.8,,24.0,8.0,23.43
6361,19411,"POTATO CHIPS,PLAIN,SALTED",532,6.39,53.83,3.1,0.33,21.0,527.0,22.363
7708,25012,"SNACKS,SWT POTATO CHIPS,UNSALTED",532,2.94,56.82,8.8,8.82,59.0,35.0,12.096
6083,19043,"POTATO CHIPS,SOUR-CREAM-AND-ONION-FLAVOR",531,8.1,51.5,5.2,,72.0,549.0,15.010000000000002
7722,25027,"SNACKS,PLANTAIN CHIPS,SALTED",531,2.28,63.84,3.5,0.92,9.0,202.0,13.969
7861,28054,"KEEBLER,CHIPS DELUXE,COCNT COOKIES",530,5.7,61.5,3.7,28.4,,293.0,19.6
6052,19004,"CORN-BASED,EXTRUDED,CHIPS,BARBECUE-FLAVOR",523,7.0,56.2,5.2,,131.0,763.0,13.940000000000001
6399,19804,"SNACKS,CORN-BASE,EXTRUD,CHIPS,BARBECUE-FLAVOR,W/ENR MASA FLR",523,7.0,56.2,,,131.0,763.0,13.940000000000001
6351,19400,BANANA CHIPS,519,2.3,58.4,7.7,35.34,18.0,6.0,30.919999999999998
6094,19057,"SNACKS, TORTILLA CHIPS, NACHO CHEESE",519,7.36,60.81,5.1,2.59,137.0,691.0,12.965
7866,28059,"KEEBLER,CHIPS DELUXE,PNUT BUTTER CUPS COOKIES",519,6.0,60.8,2.3,30.2,,285.0,19.200000000000003
7862,28055,"KEEBLER,CHIPS DELUXE,DK CHOC CHUNK COOKIES",518,4.3,64.0,2.6,31.2,,437.0,17.9
7865,28058,"KEEBLER,CHIPS DELUXE,ORIGINAL CHOC CHIP COOKIES",517,5.5,62.7,2.9,30.1,,350.0,18.3
7724,25030,"SNACKS,VEG CHIPS,HAIN CELESTIAL GROUP,TERRA CHIPS",517,4.13,57.97,10.9,9.75,79.0,246.0,17.296
7740,25050,"SNACKS,YUCCA (CASSAVA) CHIPS,SALTED",515,1.34,69.23,3.7,3.36,52.0,296.0,16.131999999999998
7859,28052,"KEEBLER,CHIPS DELUXE,CHOC LOVERS COOKIES",508,5.5,63.0,3.1,34.0,,417.0,18.9
7868,28061,"KEEBLER,CHIPS DELUXE,RAINBOW CHOC CHIP COOKIES,BITE SIZE",505,4.75,68.55,1.7,35.3,,311.0,14.600000000000001
