,id,Name,Calories,Protein_(g),Carbs_(g),Fiber_(g),Sugar_(g),Calcium_(mg),Sodium_(mg),Total_Fat_(g)
6850,21337,"MCDONALD'S,PNUTS (FOR SUNDAES)",640,28.04,16.23,,4.15,46.0,0.0,34.054
6835,21311,"MCDONALD'S,CREAMY RANCH SAU",468,1.11,3.49,0.0,3.45,29.0,708.0,18.988
6920,21429,"KFC,FRIED CHICK,EX CRISPY,SKN & BREADING",464,10.96,22.54,1.5,0.0,41.0,828.0,19.357
6935,21444,"POPEYES,FRIED CHICK,MILD,SKN & BREADING",433,13.96,21.54,1.0,0.0,26.0,769.0,25.901
6986,21509,"BURGER KING,ONION RINGS",417,3.86,43.58,2.7,5.43,115.0,776.0,11.079
6719,21130,"FAST FOODS,ONION RINGS,BREADED&FRIED",411,3.86,43.58,2.7,5.43,115.0,776.0,11.079
6886,21388,"FAST FOODS,MINIATURE CINN ROLLS",403,7.02,53.38,2.2,17.98,54.0,554.0,13.922
6907,21415,"POPEYES,BISCUIT",401,6.0,40.95,3.8,3.46,108.0,745.0,17.201
6949,21468,"FAST FOODS,FRIED CHICK,SKN & BREADING FROM ALL PIECES",398,14.11,19.56,0.3,0.0,92.0,965.0,22.221
6915,21424,"KFC,FRIED CHICK,ORIGINAL RECIPE,SKN & BREADING",384,14.17,18.79,0.0,0.0,117.0,1042.0,20.791
6869,21361,"MCDONALD'S,SAUSAGE BISCUIT",376,9.62,27.2,1.2,1.97,55.0,875.0,19.491
6882,21384,"BURGER KING,CROISSAN'WICH W/ SAUSAGE & CHS",376,13.73,23.0,0.7,3.36,107.0,782.0,20.62
6659,21009,"FAST FOODS,BISCUIT,W/SAUSAGE",371,9.67,29.99,0.4,1.59,47.0,814.0,19.584
6724,21142,"FAST FD,BISCUIT",370,7.08,42.82,2.5,3.88,70.0,979.0,14.290000000000001
6911,21419,"KFC,BISCUIT",358,7.5,43.55,2.0,4.04,55.0,1070.0,13.159
6914,21422,"KFC,POPCORN CHICK",351,17.67,21.18,1.0,0.0,32.0,1140.0,9.614
6884,21386,"BURGER KING,FRENCH TOAST STKS",349,6.0,41.21,1.4,9.89,53.0,428.0,13.491
6681,21078,"FAST FOODS,NACHOS,W/CHS",343,4.32,34.91,3.2,2.17,63.0,313.0,16.192999999999998
6997,21520,"FAST FOODS,BREADSTICK,SOFT,PREP W/ GARLIC & PARMESAN CHS",343,12.2,44.48,2.4,1.11,87.0,539.0,5.744
7002,21525,"PIZZA HUT,BREADSTICK,PARMESAN GARLIC",343,12.2,44.48,2.4,1.11,87.0,539.0,5.744
6658,21008,"FAST FOODS,BISCUIT,W/HAM",342,11.85,38.75,0.7,1.97,142.0,974.0,14.373000000000001
6670,21024,"FAST FOODS,FRENCH TOAST STKS",340,6.0,41.21,1.4,9.89,53.0,400.0,13.491
6666,21020,"FAST FOODS,ENG MUFFIN,W/CHS&SAUSAGE",338,13.28,25.28,0.5,1.98,210.0,668.0,16.057
6941,21459,"POPEYES,FRIED CHICK,MILD,WING,MEAT & SKN W/ BREADING",338,20.4,13.52,0.6,0.0,31.0,788.0,17.817
6932,21441,"KFC,FRIED CHICK,EX CRISPY,WING,MEAT & SKN W/ BREADING",337,20.8,11.66,,,35.0,765.0,12.22
6866,21358,"MCDONALD'S,SAUSAGE MCMUFFIN",333,12.66,24.52,1.4,1.93,224.0,693.0,15.001999999999999
6970,21491,"PIZZA HUT 14"" PEPPERONI PIZZA,THIN 'N CRISPY CRUST",333,14.13,32.66,2.1,2.79,196.0,967.0,11.979
6965,21485,"FAST FD,PIZZA CHAIN,14"" PIZZA,PEPPERONI TOPPING,THIN CRUST",331,14.01,29.0,2.3,3.22,216.0,875.0,12.738
6971,21492,"DOMINO'S 14"" PEPPERONI PIZZA,CRUNCHY THIN CRUST",328,13.88,25.35,2.6,3.65,236.0,783.0,13.498000000000001
6772,21246,"WENDY'S,CHICK NUGGETS",326,16.46,14.31,,0.08,11.0,708.0,10.925
6975,21496,"PIZZA HUT 14"" SAUSAGE PIZZA,THIN 'N CRISPY CRUST",323,13.95,28.7,2.4,2.62,193.0,839.0,12.142
