,id,Name,Calories,Protein_(g),Carbs_(g),Fiber_(g),Sugar_(g),Calcium_(mg),Sodium_(mg),Total_Fat_(g)
8436,35225,"AGUTUK,FISH W/ SHORTENING (ALASKAN ICE CREAM) (ALASKA NATIVE",470,9.0,10.5,,,,24.0,24.2
5774,18271,"ICE CRM CONES,CAKE OR WAFER-TYPE",417,8.1,79.0,3.0,6.0,25.0,256.0,3.067
5775,18272,"ICE CRM CONES,SUGAR,ROLLED-TYPE",402,7.9,84.1,1.7,25.66,44.0,298.0,2.043
204,1240,"ICE CRM CONE,CHOC COVERED,W/ NUTS,FLAVORS OTHER THAN CHOC",354,5.21,34.38,1.0,25.0,63.0,94.0,18.798000000000002
8287,35001,"AGUTUK,FISH/BERRY W/ SEAL OIL (ICE CREAM) (ALASKA NATIVE)",353,3.4,13.4,0.5,,8.0,21.0,22.1
201,1237,"ICE CRM,BAR OR STK,CHOC COVERED",331,4.1,24.5,0.8,18.3,119.0,68.0,19.589
8748,43506,"ICE CRM BAR,CHOC OR CARAMEL COVERED,W/NUTS",323,4.4,30.9,0.6,30.0,252.0,92.0,17.634999999999998
244,1300,"ICE CRM BAR,COVERED W/ CHOC & NUTS",303,5.62,11.89,1.1,10.8,90.0,56.0,22.112000000000002
249,1306,"ICE CRM,LOWFAT,NO SUGAR ADDED,CONE,ADDED PNUTS & CHOC SAU",265,5.33,40.01,9.3,10.67,133.0,113.0,7.659
8288,35003,"AGUTUK,MEAT-CARIBOU (ALASKAN ICE CREAM) (ALASKA NATIVE)",258,21.7,0.9,,,16.0,95.0,13.799999999999999
245,1301,ICE CRM SUNDAE CONE,254,3.0,28.89,1.0,21.26,60.0,115.0,4.492
8758,43541,"ICE CREAMS,CHOC,RICH",251,4.72,19.78,0.9,17.35,142.0,57.0,15.171
6121,19089,"ICE CREAMS,VANILLA,RICH",249,3.5,22.29,0.0,20.65,117.0,61.0,14.789000000000001
203,1239,ICE CRM COOKIE SNDWCH,240,3.7,39.6,1.2,21.3,73.0,162.0,5.813000000000001
6449,19899,"ICE CREAMS,REG,LO CARBOHYDRATE,CHOC",237,3.8,26.8,4.8,6.35,109.0,76.0,10.01
202,1238,ICE CRM SNDWCH,237,4.29,37.14,0.0,18.57,86.0,129.0,4.978
6122,19090,"ICE CREAMS,FRENCH VANILLA,SOFT-SERVE",222,4.1,22.2,0.7,21.16,131.0,61.0,10.97
200,1236,"ICE CRM,SOFT SERVE,CHOC",222,4.1,22.2,0.7,21.16,131.0,61.0,10.95
8564,42074,"FROZ NOVLT,ICE CRM,VAN ICE CRM,LT,NO SUGAR ADDED,CHOC COATD",221,6.4,26.11,0.8,8.52,222.0,104.0,8.228
6448,19898,"ICE CREAMS,REG,LO CARBOHYDRATE,VANILLA",216,3.17,22.23,4.8,6.35,128.0,48.0,9.96
6273,19270,"ICE CREAMS,CHOC",216,3.8,28.2,1.2,25.36,109.0,76.0,10.01
6127,19095,"ICE CREAMS,VANILLA",207,3.5,23.6,0.7,21.22,128.0,80.0,9.759
6443,19893,"ICE CREAMS,BREYERS,ALL NAT LT FRENCH CHOC",201,5.3,29.68,1.0,24.04,158.0,75.0,
206,1242,"ICE CRM SNDWCH,VANILLA,LT,NO SUGAR ADDED",200,5.71,42.86,7.1,6.58,86.0,164.0,1.763
6432,19879,"ICE CREAMS,BREYERS,ALL NAT LT MINT CHOC CHIP",196,4.69,28.39,0.6,25.38,160.0,67.0,
6274,19271,"ICE CREAMS,STRAWBERRY",192,3.2,27.6,0.9,,120.0,60.0,
6146,19114,"ICE CREAMS,CHOC,LT",187,5.0,25.7,0.8,24.71,159.0,71.0,6.4350000000000005
205,1241,"ICE CRM SNDWCH,MADE W/ LT ICE CRM,VANILLA",186,4.29,39.64,0.0,17.86,30.0,146.0,1.763
8689,43269,"FROZEN NOVELTIES,ICE CRM TYPE,SUNDAE,PREPACKAGED",185,4.3,29.4,0.3,20.74,120.0,95.0,4.962
6905,21412,"LIGHT ICE CRM,SOFT SERVE,BLENDED W/ MILK CHOC CANDIES",182,4.02,26.82,0.2,24.37,135.0,54.0,5.303
6120,19088,"ICE CREAMS,VANILLA,LT",180,4.78,29.46,0.3,22.12,161.0,74.0,4.208
6433,19880,"ICE CREAMS,BREYERS,NO SUGAR ADDED,BUTTER PECAN",180,3.99,21.3,0.9,5.9,130.0,164.0,
6429,19876,"ICE CREAMS,BREYERS,ALL NAT LT FRENCH VANILLA",173,4.82,26.03,0.2,21.11,155.0,73.0,
6270,19265,"ICE CREAMS,CHOC,LT,NO SUGAR ADDED",173,3.54,26.79,0.9,5.65,121.0,75.0,4.54
6906,21413,"LIGHT ICE CRM,SOFT SERVE,BLENDED W/ COOKIE PIECES",169,3.97,25.55,0.1,21.19,129.0,75.0,4.47
6268,19260,"ICE CREAMS,VANILLA,LT,NO SUGAR ADDED",169,3.97,21.42,0.0,6.46,136.0,96.0,5.9030000000000005
246,1302,"LIGHT ICE CRM,CREAMSICLE",165,1.54,32.75,0.0,18.46,62.0,46.0,2.6319999999999997
6672,21028,"FAST FOODS,VANILLA,LT,SOFT-SERVE ICE CRM,W/ CONE",163,4.24,26.36,0.1,19.49,129.0,81.0,3.7479999999999998
6846,21333,"MCDONALD'S,VANILLA RED FAT ICE CRM CONE",162,4.24,26.36,0.1,19.49,129.0,67.0,3.616
6428,19875,"ICE CREAMS,BREYERS,ALL NAT LT VANILLA",162,4.84,25.3,0.2,22.78,169.0,71.0,
6431,19878,"ICE CREAMS,BREYERS,ALL NAT LT VANILLA CHOC STRAWBERRY",161,4.69,26.06,0.4,22.47,158.0,69.0,
6434,19881,"ICE CREAMS,BREYERS,NO SUGAR ADDED,FRENCH VANILLA",154,4.5,20.75,0.5,7.7,151.0,87.0,
6436,19883,"ICE CREAMS,BREYERS,NO SUGAR ADDED,VANILLA FUDGE TWIRL",153,3.53,25.63,0.8,5.49,121.0,72.0,
6445,19895,"ICE CREAMS,BREYERS,NO SUGAR ADDED,CHOC CARAMEL",151,3.54,25.17,1.0,5.81,121.0,77.0,
6435,19882,"ICE CREAMS,BREYERS,NO SUGAR ADDED,VANILLA",143,3.68,21.92,0.5,6.09,133.0,66.0,
6437,19884,"ICE CREAMS,BREYERS,NO SUGAR ADDED,VANILLA CHOC STRAWBERRY",143,3.71,21.7,0.7,6.15,132.0,68.0,
219,1263,"ICE CRM,LT,SOFT SERVE,CHOC",141,3.36,23.15,0.0,19.46,134.0,64.0,3.382
6423,19867,"ICE CREAMS,VANILLA,FAT FREE",138,4.48,30.06,1.0,6.3,149.0,97.0,0.0
6430,19877,"ICE CREAMS,BREYERS,98% FAT FREE VANILLA",137,3.3,30.51,5.4,20.93,122.0,73.0,
6444,19894,"ICE CREAMS,BREYERS,98% FAT FREE CHOC",136,3.89,30.18,5.8,20.29,126.0,75.0,
207,1243,"FAT FREE ICE CRM,NO SUGAR ADDED,FLAVORS OTHER THAN CHOC",129,4.41,27.94,7.4,8.82,147.0,110.0,0.0
6128,19096,"ICE CREAMS,VANILLA,LT,SOFT-SERVE",126,4.9,21.8,0.0,18.69,157.0,70.0,2.3899999999999997
