,id,Name,Calories,Protein_(g),Carbs_(g),Fiber_(g),Sugar_(g),Calcium_(mg),Sodium_(mg),Total_Fat_(g)
136,1154,"MILK,DRY,NONFAT,REG,W/ ADDED VIT A & VITAMIN D",362,36.16,51.98,0.0,51.98,1257.0,535.0,0.6990000000000001
83,1091,"MILK,DRY,NONFAT,REG,WO/ ADDED VIT A & VITAMIN D",362,36.16,51.98,0.0,51.98,1257.0,535.0,0.7
137,1155,"MILK,DRY,NONFAT,INST,WO/ ADDED VIT A & VITAMIN D",358,35.1,52.19,0.0,52.19,1231.0,549.0,0.6599999999999999
84,1092,"MILK,DRY,NONFAT,INST,W/ ADDED VIT A & VITAMIN D",358,35.1,52.19,0.0,52.19,1231.0,549.0,0.654
85,1093,"MILK,DRY,NONFAT,CA RED",354,35.5,51.8,0.0,,280.0,2280.0,0.182
89,1097,"MILK,CND,EVAP,NONFAT,W/ ADDED VIT A & VITAMIN D",78,7.55,11.35,0.0,11.35,290.0,115.0,0.183
238,1292,"MILK,CHOC,FAT FREE,W/ ADDED VIT A & VITAMIN D",67,3.39,13.46,0.0,9.32,127.0,110.0,0.0
92,1104,"MILK,CHOC,LOWFAT,W/ ADDED VIT A & VITAMIN D",62,3.46,9.86,0.1,9.94,129.0,65.0,1.125
134,1152,"MILK,RED FAT,FLUID,2% MILKFAT,W/ NONFAT MILK SOL,WO/ VIT A",56,3.95,5.49,0.0,,143.0,59.0,1.297
248,1305,"MILK,CHOC,LOWFAT,RED SUGAR",54,3.43,7.68,0.0,7.29,122.0,66.0,0.9059999999999999
76,1084,"MILK,LOWFAT,FLUID,1% MILKFAT,PROT FORT,W/ ADDED VIT A & D",48,3.93,5.52,0.0,,142.0,58.0,1.066
75,1083,"MILK,LOWFAT,FLUID,1% MILKFAT,W/ ADD NONFAT MILK SOL,VIT A/ D",43,3.48,4.97,0.0,,128.0,52.0,0.884
74,1082,"MILK,LOWFAT,FLUID,1% MILKFAT,W/ ADDED VIT A & VITAMIN D",42,3.37,4.99,0.0,5.2,125.0,44.0,0.91
79,1087,"MILK,NONFAT,FLUID,PROT FORT,W/ ADD VIT A & D (FAT FREE/SKIM)",41,3.96,5.56,0.0,,143.0,59.0,0.227
80,1088,"MILK,BTTRMLK,FLUID,CULTURED,LOWFAT",40,3.31,4.79,0.0,4.79,116.0,190.0,0.802
78,1086,"MILK,NONFAT,FLUID,W/ ADDED NONFAT MILK SOL,VIT A & VIT D",37,3.57,5.02,0.0,5.02,129.0,53.0,0.227
8628,42290,"MILK,FLUID,NONFAT,CA FORT (FAT FREE OR SKIM)",35,3.4,4.85,0.0,4.85,204.0,52.0,0.164
77,1085,"MILK,NONFAT,FLUID,W/ ADDED VIT A & VIT D (FAT FREE OR SKIM)",34,3.37,4.96,0.0,5.09,122.0,42.0,0.078
133,1151,"MILK,NONFAT,FLUID,WO/ ADDED VIT A & VIT D (FAT FREE OR SKIM)",34,3.37,4.96,0.0,5.09,122.0,42.0,0.072
