,id,Name,Calories,Protein_(g),Carbs_(g),Fiber_(g),Sugar_(g),Calcium_(mg),Sodium_(mg),Total_Fat_(g)
6970,21491,"PIZZA HUT 14"" PEPPERONI PIZZA,THIN 'N CRISPY CRUST",333,14.13,32.66,2.1,2.79,196.0,967.0,11.979
6965,21485,"FAST FD,PIZZA CHAIN,14"" PIZZA,PEPPERONI TOPPING,THIN CRUST",331,14.01,29.0,2.3,3.22,216.0,875.0,12.738
8245,32012,"PIZZA ROLLS,FRZ,UNPREP",328,8.73,50.72,1.2,3.74,125.0,599.0,6.343
6971,21492,"DOMINO'S 14"" PEPPERONI PIZZA,CRUNCHY THIN CRUST",328,13.88,25.35,2.6,3.65,236.0,783.0,13.498000000000001
6975,21496,"PIZZA HUT 14"" SAUSAGE PIZZA,THIN 'N CRISPY CRUST",323,13.95,28.7,2.4,2.62,193.0,839.0,12.142
6963,21483,"FAST FD,PIZZA CHAIN,14"" PIZZA,SAUSAGE TOPPING,THIN CRUST",321,13.36,27.0,2.5,3.02,213.0,782.0,12.411
6972,21493,"DOMINO'S 14"" SAUSAGE PIZZA,CRUNCHY THIN CRUST",319,12.77,25.3,2.6,3.42,234.0,725.0,12.681000000000001
6817,21292,"LITTLE CAESARS 14"" CHS PIZZA,THIN CRUST",309,16.23,22.85,1.6,2.76,422.0,455.0,11.747
6820,21295,"PIZZA HUT 14"" CHS PIZZA,THIN 'N CRISPY CRUST",306,13.37,34.22,2.4,3.13,284.0,857.0,9.368
6798,21273,"PIZZA HUT 12"" CHS PIZZA,THIN 'N CRISPY CRUST",303,15.29,28.64,1.6,2.67,278.0,784.0,10.703
6826,21301,"FAST FD,PIZZA CHAIN,14"" PIZZA,CHS TOPPING,THIN CRUST",302,12.85,31.2,2.5,3.61,288.0,742.0,9.731
6804,21279,"DOMINO'S 14"" CHS PIZZA,CRUNCHY THIN CRUST",298,12.33,28.18,2.5,4.09,292.0,628.0,10.093
6800,21275,"PIZZA HUT 12"" PEPPERONI PIZZA,PAN CRUST",298,11.97,30.49,1.8,3.2,146.0,692.0,9.686
6811,21286,"PAPA JOHN'S 14"" CHS PIZZA,THIN CRUST",295,12.29,26.26,2.3,3.85,238.0,528.0,12.204
6822,21297,"PIZZA HUT 14"" PEPPERONI PIZZA,PAN CRUST",291,11.47,31.79,2.0,1.95,147.0,676.0,8.667
6821,21296,"PIZZA HUT 14"" PEPPERONI PIZZA,HAND-TOSSED CRUST",291,12.23,32.11,2.6,2.82,166.0,759.0,9.742
6976,21497,"PIZZA HUT 14"" SAUSAGE PIZZA,HAND-TOSSED CRUST",287,11.92,29.39,2.3,2.72,150.0,671.0,10.190999999999999
6977,21498,"PIZZA HUT 14"" SAUSAGE PIZZA,PAN CRUST",287,11.08,29.56,2.0,1.82,132.0,596.0,9.128
6828,21303,"FAST FD,PIZZA CHAIN,14"" PIZZA,PEPPERONI TOPPING,THICK CRUST",287,11.49,31.84,2.2,2.93,148.0,684.0,8.57
6806,21281,"DOMINO'S 14"" PEPPERONI PIZZA,ULTIMATE DEEP DISH CRUST",283,11.52,31.89,2.4,3.91,149.0,693.0,8.474
6959,21478,"DIGIORNO PIZZA,PEPPERONI TOPPING,THIN CRISPY CRUST,FRZ,BKD",283,13.22,28.67,2.8,,209.0,663.0,9.327
6962,21482,"FAST FD,PIZZA CHAIN,14"" PIZZA,SAUSAGE TOPPING,THICK CRUST",282,11.06,30.36,2.3,2.82,143.0,637.0,8.745999999999999
6827,21302,"FAST FD,PIZZA CHAIN,14"" PIZZA,PEPPERONI TOPPING,REG CRUST",282,11.74,31.98,2.3,3.26,153.0,685.0,8.945
6964,21484,"FAST FD,PIZZA CHAIN,14"" PIZZA,SAUSAGE TOPPING,REG CRUST",280,11.5,30.62,2.3,3.32,144.0,633.0,9.082
6797,21272,"PIZZA HUT 12"" CHS PIZZA,PAN CRUST",280,11.73,29.93,1.7,3.21,208.0,624.0,8.397
6799,21274,"PIZZA HUT 12"" PEPPERONI PIZZA,HAND-TOSSED CRUST",280,12.86,31.55,1.7,3.67,155.0,801.0,9.178999999999998
6954,21473,"DIGIORNO PIZZA,CHS TOPPING,CHS STUFFED CRUST,FRZ,BKD",279,13.48,29.86,1.9,,235.0,806.0,8.535
6957,21476,"DIGIORNO PIZZA,PEPPERONI TOPPING,CHS STUFFED CRUST,FRZ,BKD",279,13.92,29.46,2.1,,226.0,753.0,8.296
6974,21495,"DOMINO'S 14"" SAUSAGE PIZZA,ULTIMATE DEEP DISH CRUST",277,11.03,31.17,2.6,3.82,154.0,677.0,8.363
6754,21226,"PIZZA,MEAT & VEG TOPPING,REG CRUST,FRZ,CKD",276,11.28,25.14,2.2,4.85,152.0,555.0,10.972999999999999
6819,21294,"PIZZA HUT 14"" CHS PIZZA,PAN CRUST",276,10.85,32.85,2.1,2.47,192.0,580.0,7.145
6818,21293,"PIZZA HUT 14"" CHS PIZZA,HAND-TOSSED CRUST",275,11.98,33.42,2.4,3.13,209.0,674.0,7.869
6809,21284,"PAPA JOHN'S 14"" PEPPERONI PIZZA,ORIGINAL CRUST",275,11.97,30.04,1.2,4.84,152.0,671.0,8.82
