,id,Name,Calories,Protein_(g),Carbs_(g),Fiber_(g),Sugar_(g),Calcium_(mg),Sodium_(mg),Total_Fat_(g)
6092,19053,"RICE CAKES,BROWN RICE,SESAME SD",392,7.6,81.5,5.4,,12.0,227.0,1.6400000000000001
6411,19819,"RICE CAKES,BROWN RICE,SESAME SD,UNSALTED",392,7.6,81.5,,,12.0,4.0,1.6400000000000001
6410,19818,"RICE CAKES,BROWN RICE,MULTIGRAIN,UNSALTED",387,8.5,80.1,,,21.0,4.0,1.72
6364,19414,"RICE CAKES,BROWN RICE,MULTIGRAIN",387,8.5,80.1,3.0,,21.0,252.0,1.72
6090,19051,"SNACKS,RICE CRACKER BROWN RICE,PLN",387,8.2,81.5,4.2,0.89,11.0,326.0,1.6
6408,19816,"RICE CAKES,BROWN RICE,PLN,UNSALTED",387,8.2,81.5,4.2,0.88,11.0,26.0,1.6
6366,19416,"RICE CAKES,BROWN RICE,RYE",386,8.1,79.9,4.0,,21.0,110.0,1.8900000000000001
6363,19413,"SNACKS,RICE CAKES,BROWN RICE,CORN",385,8.4,81.2,2.9,,9.0,167.0,1.77
6409,19817,"RICE CAKES,BROWN RICE,BUCKWHEAT,UNSALTED",380,9.0,80.1,,,11.0,4.0,1.75
6514,20048,"RICE,WHITE,LONG-GRAIN,PRECKD OR INST,ENR,DRY",380,7.82,82.32,1.9,0.05,22.0,10.0,0.296
6091,19052,"RICE CAKES,BROWN RICE,BUCKWHEAT",380,9.0,80.1,3.8,,11.0,116.0,1.75
6217,19194,"PUDDINGS,RICE,DRY MIX",376,2.7,91.2,0.7,,14.0,366.0,
6614,20446,"RICE,WHITE,LONG-GRAIN,PARBLD,UNENR,DRY",374,7.51,80.89,1.8,0.33,71.0,2.0,0.552
6512,20046,"RICE,WHITE,LONG-GRAIN,PARBLD,ENR,DRY",374,7.51,80.89,1.8,0.33,71.0,2.0,0.552
6509,20042,"RICE,BROWN,PARBLD,DRY,UNCLE BEN'S",370,7.6,78.68,3.5,0.5,8.0,6.0,1.505
6520,20054,"RICE,WHITE,GLUTINOUS,UNENR,UNCKD",370,6.81,81.68,2.8,,11.0,7.0,0.311
6504,20036,"RICE,BROWN,LONG-GRAIN,RAW",367,7.54,76.25,3.6,0.66,9.0,5.0,1.645
6612,20444,"RICE,WHITE,LONG-GRAIN,REG,RAW,UNENR",365,7.13,79.95,1.3,0.12,28.0,5.0,0.386
6510,20044,"RICE,WHITE,LONG-GRAIN,REG,RAW,ENR",365,7.13,79.95,1.3,0.12,28.0,5.0,0.386
6507,20040,"RICE,BROWN,MEDIUM-GRAIN,RAW",362,7.5,76.17,3.4,,33.0,4.0,1.5070000000000001
6616,20450,"RICE,WHITE,MEDIUM-GRAIN,RAW,UNENR",360,6.61,79.34,,,9.0,1.0,0.33899999999999997
6516,20050,"RICE,WHITE,MEDIUM-GRAIN,RAW,ENR",360,6.61,79.34,1.4,,9.0,1.0,0.33899999999999997
6618,20452,"RICE,WHITE,SHORT-GRAIN,RAW,UNENR",358,6.5,79.15,,,3.0,1.0,0.30100000000000005
6518,20052,"RICE,WHITE,SHORT-GRAIN,ENR,UNCKD",358,6.5,79.15,2.8,,3.0,1.0,0.30100000000000005
6549,20088,"WILD RICE,RAW",357,14.73,74.9,6.2,2.5,21.0,7.0,0.315
8514,36401,"RESTAURANT,LATINO,CHICK & RICE,ENTREE,PREP",174,12.02,20.03,1.2,0.55,18.0,518.0,2.9
8532,36602,"RESTAURANT,CHINESE,FRIED RICE,WO/ MEAT",174,4.05,32.79,1.1,0.56,12.0,387.0,1.189
