,id,Name,Calories,Protein_(g),Carbs_(g),Fiber_(g),Sugar_(g),Calcium_(mg),Sodium_(mg),Total_Fat_(g)
1269,6101,"SOUP,CRM OF VEG,DRY,PDR",446,8.0,52.1,3.0,17.51,134.0,4957.0,16.76
1602,6982,"SOUP,RAMEN NOODLE,BF FLAVOR,DRY",441,10.06,60.34,3.0,1.99,21.0,1727.0,14.347
1517,6583,"SOUP,RAMEN NOODLE,ANY FLAVOR,DRY",440,10.17,60.26,2.9,1.98,21.0,1855.0,14.273
1603,6983,"SOUP,RAMEN NOODLE,CHICK FLAVOR,DRY",439,10.22,60.23,2.9,1.96,22.0,1923.0,14.233
7780,27035,"SOUP,RAMEN NOODLE,DRY,ANY FLAVOR,RED FAT,RED NA",350,10.89,70.95,2.7,0.85,22.0,1200.0,0.685
258,2009,CHILI POWDER,282,13.46,49.7,34.8,7.19,330.0,2867.0,5.673
6711,21119,"FAST FOODS,HOTDOG,W/CHILI",260,11.85,27.45,,,17.0,421.0,10.043
8489,36037,"RESTAURANT,FAMILY STYLE,CHILI W/ MEAT & BNS",157,12.56,4.57,1.4,2.27,34.0,381.0,8.684999999999999
8471,36019,"APPLEBEE'S,CHILI",157,12.56,4.57,1.4,2.27,34.0,381.0,8.959
1208,6006,"SOUP,BEAN W/ FRANKFURTERS,CND,COND",142,7.6,16.75,4.6,,66.0,831.0,3.6900000000000004
1410,6361,"CAMPBELL'S RED & WHITE,GRN PEA SOUP,COND",141,7.03,21.88,3.1,4.69,16.0,680.0,1.1720000000000002
1421,6380,"CAMPBELL'S RED & WHITE,SPLIT PEA W/ HAM & BACON SOUP,COND",141,7.81,23.44,3.1,3.13,16.0,664.0,1.1720000000000002
1245,6051,"SOUP,PEA,SPLIT W/ HAM,CND,COND",141,7.68,20.81,1.7,,16.0,630.0,2.6500000000000004
1569,6738,"SOUP,SPLIT PEA W/HAM&BACON,CND,COND,SINGLE BRAND",140,8.6,21.2,3.0,,,729.0,1.568
1207,6004,"SOUP,BEAN W/ PORK,CND,COND",129,5.88,16.97,5.9,3.0,60.0,672.0,2.76
5027,16510,"WORTHINGTON CHILI,CND,UNPREP",126,10.4,10.9,3.4,1.3,18.0,453.0,1.6
